"time","HEOG"
1.47,0.049785
1.472,0.068934
1.474,0.0574455
1.476,0.0574455
1.478,0.049785
1.48,0.068934
1.482,0.0574455
1.484,0.0574455
1.486,0.061275
1.488,0.061275
1.49,0.0651045
1.492,0.0574455
1.494,0.068934
1.496,0.0804225
1.498,0.068934
1.5,0.0727635
1.502,0
1.504,-0.007659
1.506,-0.007659
1.508,-0.007659
1.51,-0.015318
1.512,-0.0114885
1.514,-0.015318
1.516,-0.0038295
1.518,-0.007659
1.52,0.0038295
1.522,0
1.524,-0.0114885
1.526,0
1.528,-0.0191475
1.53,-0.0191475
1.532,-0.0229785
1.534,-0.0306375
1.536,-0.0229785
1.538,-0.026808
1.54,-0.0191475
1.542,-0.026808
1.544,-0.0306375
1.546,-0.026808
1.548,-0.034467
1.55,-0.0306375
1.552,-0.0191475
1.554,-0.0306375
1.556,-0.0191475
1.558,-0.0229785
1.56,-0.0229785
1.562,-0.0229785
1.564,-0.0306375
1.566,-0.0306375
1.568,-0.015318
1.57,-0.007659
1.572,-0.007659
1.574,-0.007659
1.576,-0.0191475
1.578,-0.026808
1.58,-0.0191475
1.582,-0.0191475
1.584,-0.0114885
1.586,-0.0191475
1.588,-0.0191475
1.59,-0.026808
1.592,-0.0191475
1.594,-0.0191475
1.596,-0.007659
1.598,-0.007659
1.6,-0.015318
1.602,-0.026808
1.604,-0.015318
1.606,-0.0191475
1.608,-0.007659
1.61,-0.015318
1.612,-0.026808
1.614,-0.026808
1.616,-0.015318
1.618,-0.0191475
1.62,-0.015318
1.622,-0.015318
1.624,-0.0306375
1.626,-0.0191475
1.628,-0.0191475
1.63,-0.0191475
1.632,-0.0191475
1.634,-0.026808
1.636,-0.0306375
1.638,-0.015318
1.64,-0.015318
1.642,-0.015318
1.644,-0.015318
1.646,-0.0229785
1.648,-0.026808
1.65,-0.015318
1.652,-0.0038295
1.654,-0.007659
1.656,-0.015318
1.658,-0.026808
1.66,-0.0306375
1.662,-0.0229785
1.664,-0.0229785
1.666,-0.015318
1.668,-0.015318
1.67,-0.0229785
1.672,-0.034467
1.674,-0.0382965
1.676,-0.026808
1.678,-0.026808
1.68,-0.015318
1.682,-0.015318
1.684,-0.026808
1.686,-0.0306375
1.688,-0.0382965
1.69,-0.034467
1.692,-0.026808
1.694,-0.0306375
1.696,-0.0191475
1.698,-0.0191475
1.7,-0.026808
1.702,-0.0306375
1.704,-0.0382965
1.706,-0.0306375
1.708,-0.0459555
1.71,-0.0306375
1.712,-0.0306375
1.714,-0.034467
1.716,-0.0536145
1.718,-0.0536145
1.72,-0.057444
1.722,-0.034467
1.724,-0.0382965
1.726,-0.049785
1.728,-0.0536145
1.73,-0.057444
1.732,-0.0536145
1.734,-0.034467
1.736,-0.0382965
1.738,-0.0382965
1.74,-0.049785
1.742,-0.0459555
1.744,-0.0536145
1.746,-0.0536145
1.748,-0.0459555
1.75,-0.049785
1.752,-0.0382965
1.754,-0.049785
1.756,-0.0382965
1.758,-0.0459555
1.76,-0.0382965
1.762,-0.0536145
1.764,-0.0459555
1.766,-0.0459555
1.768,-0.0459555
1.77,-0.034467
1.772,-0.0459555
1.774,-0.057444
1.776,-0.057444
1.778,-0.0459555
1.78,-0.049785
1.782,-0.0382965
1.784,-0.0382965
1.786,-0.0382965
1.788,-0.0459555
1.79,-0.0536145
1.792,-0.0459555
1.794,-0.042126
1.796,-0.0459555
1.798,-0.042126
1.8,-0.0536145
1.802,-0.0459555
1.804,-0.0382965
1.806,-0.0306375
1.808,-0.026808
1.81,-0.034467
1.812,-0.0459555
1.814,-0.034467
1.816,-0.0306375
1.818,-0.0229785
1.82,-0.0191475
1.822,-0.0306375
1.824,-0.0306375
1.826,-0.0306375
1.828,-0.0306375
1.83,-0.026808
1.832,-0.0306375
1.834,-0.0306375
1.836,-0.0229785
1.838,-0.0306375
1.84,-0.0306375
1.842,-0.042126
1.844,-0.042126
1.846,-0.034467
1.848,-0.0306375
1.85,-0.0229785
1.852,-0.0306375
1.854,-0.042126
1.856,-0.0382965
1.858,-0.0191475
1.86,-0.0229785
1.862,-0.0229785
1.864,-0.042126
1.866,-0.042126
1.868,-0.0382965
1.87,-0.0306375
1.872,-0.0306375
1.874,-0.0229785
1.876,-0.0306375
1.878,-0.0306375
1.88,-0.042126
1.882,-0.026808
1.884,-0.0306375
1.886,-0.0191475
1.888,-0.0191475
1.89,-0.015318
1.892,-0.026808
1.894,-0.026808
1.896,-0.034467
1.898,-0.034467
1.9,-0.026808
1.902,-0.0306375
1.904,-0.0229785
1.906,-0.034467
1.908,-0.026808
1.91,-0.0229785
1.912,-0.0306375
1.914,-0.0229785
1.916,-0.0306375
1.918,-0.026808
1.92,-0.0114885
1.922,0
1.924,0.015318
1.926,0.015318
1.928,0.034467
1.93,0.022977
1.932,0.034467
1.934,0.0536145
1.936,0.065103
1.938,0.0689325
1.94,0.0880815
1.942,0.0957405
1.944,0.09957
1.946,0.0957405
1.948,0.09957
1.95,0.091911
1.952,0.091911
1.954,0.09957
1.956,0.09957
1.958,0.107229
1.96,0.0957405
1.962,0.09957
1.964,0.0957405
1.966,0.0880815
1.968,0.091911
1.97,0.091911
1.972,0.107229
1.974,0.107229
1.976,0.1110585
1.978,0.09957
1.98,0.1033995
1.982,0.1033995
1.984,0.1033995
1.986,0.107229
1.988,0.114888
