"time","HEOG"
1.704,-0.025531
1.706,-0.020425
1.708,-0.030637
1.71,-0.020425
1.712,-0.020425
1.714,-0.022978
1.716,-0.035743
1.718,-0.035743
1.72,-0.038296
1.722,-0.022978
1.724,-0.025531
1.726,-0.03319
1.728,-0.035743
1.73,-0.038296
1.732,-0.035743
1.734,-0.022978
1.736,-0.025531
1.738,-0.025531
1.74,-0.03319
1.742,-0.030637
1.744,-0.035743
1.746,-0.035743
1.748,-0.030637
1.75,-0.03319
1.752,-0.025531
1.754,-0.03319
1.756,-0.025531
1.758,-0.030637
1.76,-0.025531
1.762,-0.035743
1.764,-0.030637
1.766,-0.030637
1.768,-0.030637
1.77,-0.022978
1.772,-0.030637
1.774,-0.038296
1.776,-0.038296
1.778,-0.030637
1.78,-0.03319
1.782,-0.025531
1.784,-0.025531
1.786,-0.025531
1.788,-0.030637
1.79,-0.035743
1.792,-0.030637
1.794,-0.028084
1.796,-0.030637
1.798,-0.028084
1.8,-0.035743
1.802,-0.030637
1.804,-0.025531
1.806,-0.020425
1.808,-0.017872
1.81,-0.022978
1.812,-0.030637
1.814,-0.022978
1.816,-0.020425
1.818,-0.015319
1.82,-0.012765
1.822,-0.020425
1.824,-0.020425
1.826,-0.020425
1.828,-0.020425
1.83,-0.017872
1.832,-0.020425
1.834,-0.020425
1.836,-0.015319
1.838,-0.020425
1.84,-0.020425
1.842,-0.028084
1.844,-0.028084
1.846,-0.022978
1.848,-0.020425
1.85,-0.015319
1.852,-0.020425
1.854,-0.028084
1.856,-0.025531
1.858,-0.012765
1.86,-0.015319
1.862,-0.015319
1.864,-0.028084
1.866,-0.028084
1.868,-0.025531
1.87,-0.020425
1.872,-0.020425
1.874,-0.015319
1.876,-0.020425
1.878,-0.020425
1.88,-0.028084
1.882,-0.017872
1.884,-0.020425
1.886,-0.012765
1.888,-0.012765
1.89,-0.010212
1.892,-0.017872
1.894,-0.017872
1.896,-0.022978
1.898,-0.022978
1.9,-0.017872
1.902,-0.020425
1.904,-0.015319
1.906,-0.022978
1.908,-0.017872
1.91,-0.015319
1.912,-0.020425
1.914,-0.015319
1.916,-0.020425
1.918,-0.017872
1.92,-0.007659
1.922,0
1.924,0.010212
1.926,0.010212
1.928,0.022978
1.93,0.015318
1.932,0.022978
1.934,0.035743
1.936,0.043402
1.938,0.045955
1.94,0.058721
1.942,0.063827
1.944,0.06638
1.946,0.063827
1.948,0.06638
1.95,0.061274
1.952,0.061274
1.954,0.06638
1.956,0.06638
1.958,0.071486
1.96,0.063827
1.962,0.06638
1.964,0.063827
1.966,0.058721
1.968,0.061274
1.97,0.061274
1.972,0.071486
1.974,0.071486
1.976,0.074039
1.978,0.06638
1.98,0.068933
1.982,0.068933
1.984,0.068933
1.986,0.071486
1.988,0.076592
1.99,0.076592
1.992,0.074039
1.994,0.071486
1.996,0.071486
1.998,0.068933
2,0.074039
2.002,0.076592
2.004,0.068933
2.006,0.068933
2.008,0.068933
2.01,0.074039
2.012,0.074039
2.014,0.074039
2.016,0.074039
2.018,0.079145
2.02,0.074039
2.022,0.071486
2.024,0.074039
2.026,0.074039
2.028,0.068933
2.03,0.068933
2.032,0.068933
2.034,0.068933
2.036,0.076592
2.038,0.076592
2.04,0.074039
2.042,0.074039
2.044,0.079145
2.046,0.068933
2.048,0.071486
2.05,0.068933
2.052,0.061274
2.054,0.061274
2.056,0.071486
2.058,0.068933
2.06,0.074039
2.062,0.074039
2.064,0.074039
2.066,0.076592
2.068,0.068933
2.07,0.071486
2.072,0.068933
2.074,0.071486
2.076,0.071486
2.078,0.071486
2.08,0.076592
2.082,0.081698
2.084,0.071486
2.086,0.071486
2.088,0.068933
2.09,0.076592
2.092,0.068933
2.094,0.068933
2.096,0.068933
2.098,0.068933
2.1,0.071486
2.102,0.076592
2.104,0.074039
2.106,0.076592
2.108,0.076592
2.11,0.074039
2.112,0.071486
2.114,0.074039
2.116,0.068933
2.118,0.076592
2.12,0.068933
2.122,0.071486
2.124,0.074039
2.126,0.076592
2.128,0.071486
2.13,0.071486
2.132,0.071486
2.134,0.076592
2.136,0.076592
2.138,0.071486
2.14,0.068933
2.142,0.076592
2.144,0.076592
2.146,0.081698
2.148,0.079145
2.15,0.076592
2.152,0.084251
2.154,0.081698
2.156,0.079145
2.158,0.076592
2.16,0.079145
2.162,0.084251
2.164,0.081698
2.166,0.081698
2.168,0.089358
2.17,0.086805
2.172,0.084251
2.174,0.086805
2.176,0.079145
2.178,0.079145
2.18,0.076592
2.182,0.071486
2.184,0.074039
2.186,0.068933
2.188,0.076592
2.19,0.074039
2.192,0.081698
2.194,0.079145
2.196,0.071486
2.198,0.068933
2.2,0.063827
2.202,0.061274
2.204,0.058721
2.206,0.06638
2.208,0.068933
2.21,0.071486
2.212,0.06638
2.214,0.071486
2.216,0.071486
2.218,0.063827
2.22,0.063827
2.222,0.06638
2.224,0.063827
